pricebook_description,pricebook_partId,pricebook_uom,pricebook_rate,invoice_description,invoice_uom,invoice_rate,
Phase 1 ESA Lump Sum Area 1,Phase 1 ESA Lump Sum Area 1,$,1000,Phase 1 Environmental Site Assessment,Each,1000
Phase 1 ESA Lump Sum Area 2,Phase 1 ESA Lump Sum Area 2,$,1450,Phase 1 Environmental Site Assessment,Each,1450
Phase 1 ESA Lump Sum Multi-site Additional DWDA CO per wellbore Area 1,Phase 1 ESA Lump Sum Multi-site Additional DWDA CO per wellbore Area 1,$,250,Phase 1 Environmental Site Assessment,Each,250
Phase 1 ESA Lump Sum Multi-site Additional DWDA CO per wellbore Area 2,Phase 1 ESA Lump Sum Multi-site Additional DWDA CO per wellbore Area 2,$,250,Phase 1 Environmental Site Assessment,Each,250
Picker Truck (5 ton with 7 tonne picker),Picker Truck (5 ton with 7 tonne picker),Hour,175,Picker Truck (5 tonne w/ 7 tonne picker),Hour,175
Poly Liner 40' x 100' (per roll) - Remediation Projects,Poly Liner 40' x 100' (per roll) - Remediation Projects,Each,385,Poly Liner 10' x 100' (per roll),Each,385
"Private Accommodation (at cost, receipt required)","Private Accommodation (at cost, receipt required)",At Cost,,,Each,
Pull Behind Mini Hoe,Pull Behind Mini Hoe,Day,1100,Troy Built Hoe-Pull Behind,Daily,1100
Quad,Quad,Day,180,ATV: Quad or snowmobile,Daily,180
RCA Lump Sum Area 1 $,RCA Lump Sum Area 1 $,$,500,Reclamation Certificate Application,Each,450
RCA Lump Sum Area 2 $,RCA Lump Sum Area 2 $,$,1500,Reclamation Certificate Application,Each,1500
RKI/Gastech - RKI eagle only charged for care and custody sites,RKI/Gastech - RKI eagle only charged for care and custody sites,Day,80,RKI Eagle or Equivalent,Daily,100
RS1000 - Small Cat,RS1000 - Small Cat,Day,1100,RS1000-Small Cat,Daily,1100
Remote Access Tracked Cradle (Plus Phase II Drill) - Pull with argo,Remote Access Tracked Cradle (Plus Phase II Drill) - Pull with argo,Hour,295,Remote Access Tracked Cradle (plus PII Drill)-Pull with Argo,Hour,295
